Model,MSO2014
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.04,
Sample Interval,3.2e-06,
Filter Frequency,4.2e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.29226e-01,-5.3,-5.7
-1.29222e-01,-5.3,-5.1
-1.29219e-01,-5.3,-5.5
-1.29216e-01,-5.3,-5.1
-1.29213e-01,-5.3,-5.5
-1.29210e-01,-5.3,-5.1
-1.29206e-01,-5.3,-5.5
-1.29203e-01,-5.5,-5.1
-1.29200e-01,-5.3,-5.5
-1.29197e-01,-5.3,-5.1
-1.29194e-01,-5.3,-5.5
-1.29190e-01,-5.3,-5.1
-1.29187e-01,-5.3,-5.5
-1.29184e-01,-5.3,-5.1
-1.29181e-01,-5.3,-5.5
-1.29178e-01,-5.3,-5.1
-1.29174e-01,-5.3,-5.5
-1.29171e-01,-5.3,-5.1
-1.29168e-01,-5.3,-5.5
-1.29165e-01,-5.3,-5.1
-1.29162e-01,-5.3,-5.5
-1.29158e-01,-5.3,-5.1
-1.29155e-01,-5.3,-5.5
-1.29152e-01,-5.3,-5.1
-1.29149e-01,-5.3,-5.5
-1.29146e-01,-5.3,-5.1
-1.29142e-01,-5.3,-5.5
-1.29139e-01,-5.3,-5.1
-1.29136e-01,-5.3,-5.5
-1.29133e-01,-5.3,-5.1
-1.29130e-01,-5.5,-5.5
-1.29126e-01,-5.5,-5.1
-1.29123e-01,-5.5,-5.7
-1.29120e-01,-5.5,-5.1
-1.29117e-01,-5.3,-5.7
-1.29114e-01,-5.5,-5.3
-1.29110e-01,-5.5,-5.7
-1.29107e-01,-5.5,-5.3
-1.29104e-01,-5.5,-5.7
-1.29101e-01,-5.5,-5.3
-1.29098e-01,-5.3,-5.7
-1.29094e-01,-5.3,-5.3
-1.29091e-01,-5.5,-5.7
-1.29088e-01,-5.3,-5.3
-1.29085e-01,-5.3,-5.7
-1.29082e-01,-5.5,-5.3
-1.29078e-01,-5.5,-5.7
-1.29075e-01,-5.3,-5.3
